 ,Edwin_VAN_DER_SAR,Michael_REIZIGER,Jaap_STAM,Wilfred_BOUMA,Giovanni_VAN_BRONCKHORST,Phillip_COCU,Andy_VAN_DER_MEYDE,Edgar_DAVIDS,Patrick_KLUIVERT,Ruud_VAN_NISTELROOIJ,Rafael_VAN_DER_VAART,Roy_MAKAAY,Sander_WESTERVELD,Wesley_SNEIJDER,Frank_DE_BOER,Marc_OVERMARS,Pierre_VAN_HOOIJDONK,John_HEITINGA,Arjen_ROBBEN,Clarence_SEEDORF,Paul_BOSVELT,Boudewijn_ZENDEN,Ronald_WATERREUS
Edwin_VAN_DER_SAR,0,2,3,3,4,3,3,1,0,6,0,2,0,0,4,0,0,4,1,1,0,0,0
Michael_REIZIGER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaap_STAM,2,5,0,8,2,1,1,2,0,2,0,2,0,0,2,0,0,3,3,1,0,0,0
Wilfred_BOUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovanni_VAN_BRONCKHORST,2,1,2,1,0,9,1,1,0,4,0,1,0,0,4,0,0,2,11,6,0,0,0
Phillip_COCU,1,5,4,3,3,0,2,5,0,3,0,2,0,0,1,0,0,2,9,11,0,0,0
Andy_VAN_DER_MEYDE,3,3,2,0,1,1,0,4,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
Edgar_DAVIDS,1,0,2,1,2,2,1,0,0,2,0,0,0,0,2,0,0,0,3,3,0,0,0
Patrick_KLUIVERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruud_VAN_NISTELROOIJ,6,5,2,0,0,3,6,2,0,0,0,2,0,0,2,0,0,0,4,5,0,0,0
Rafael_VAN_DER_VAART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roy_MAKAAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sander_WESTERVELD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley_SNEIJDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank_DE_BOER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc_OVERMARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre_VAN_HOOIJDONK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John_HEITINGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arjen_ROBBEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarence_SEEDORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul_BOSVELT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boudewijn_ZENDEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald_WATERREUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
