 ,Antonios_NIKOPOLIDIS,Giourkas_SEITARIDIS,Stylianos_VENETIDIS,Nikolaos_DABIZAS,Traianos_DELLAS,Angelos_BASINAS,Theodoros_ZAGORAKIS,Stylianos_GIANNAKOPOULOS,Angelos_CHARISTEAS,Vassilios_TSIARTAS,Themistoklis_NIKOLAIDIS,Konstantinos_CHALKIAS,Theofanis_KATERGIANNAKIS,Panagiotis_FYSSAS,Zisis_VRYZAS,Pantelis_KAFES,Georgios_GEORGIADIS,Ioannis_GOUMAS,Mihalis_KAPSIS,Georgios_KARAGOUNIS,Konstantinos_KATSOURANIS,Dimitrios_PAPADOPOULOS,Vassilios_LAKIS
Antonios_NIKOPOLIDIS,0,1,3,0,3,1,0,0,4,1,0,0,0,0,1,0,0,0,1,0,2,0,0
Giourkas_SEITARIDIS,1,0,0,0,1,4,5,0,13,0,1,0,0,0,4,0,0,0,2,0,5,0,0
Stylianos_VENETIDIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikolaos_DABIZAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Traianos_DELLAS,1,3,2,0,0,2,1,0,1,3,0,0,0,0,4,0,0,0,1,0,1,1,0
Angelos_BASINAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theodoros_ZAGORAKIS,0,4,3,0,1,5,0,0,4,9,1,0,0,0,4,0,0,0,2,0,0,5,0
Stylianos_GIANNAKOPOULOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelos_CHARISTEAS,4,4,1,0,1,2,2,0,0,1,1,0,0,0,2,0,0,0,1,0,1,1,0
Vassilios_TSIARTAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Themistoklis_NIKOLAIDIS,0,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0
Konstantinos_CHALKIAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theofanis_KATERGIANNAKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panagiotis_FYSSAS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zisis_VRYZAS,1,0,2,0,0,0,3,0,4,6,2,0,0,0,0,0,0,0,1,0,0,2,0
Pantelis_KAFES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgios_GEORGIADIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ioannis_GOUMAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mihalis_KAPSIS,1,1,1,0,2,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,4,0
Georgios_KARAGOUNIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konstantinos_KATSOURANIS,2,9,1,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0
Dimitrios_PAPADOPOULOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vassilios_LAKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
